id,lat,lon,name
IQUIQUE,-20.92558529662486,-70.04815776850246,IQUIQUE
ALTO HOSPICIO,-20.189747742153752,-70.0126387329233,ALTO HOSPICIO
ANTOFAGASTA,-24.278214802948057,-69.4053067353665,ANTOFAGASTA
CALAMA,-22.169481194681882,-68.62672463648121,CALAMA
TOCOPILLA,-21.998244694373355,-70.02138982634189,TOCOPILLA
COPIAPO,-27.3170762034228,-69.82278604601198,COPIAPO
CALDERA,-27.140565012461796,-70.68229839747815,CALDERA
VALLENAR,-28.594586417028452,-70.60310859437215,VALLENAR
LA SERENA,-29.789017010957487,-71.06060894879104,LA SERENA
COQUIMBO,-30.227438108745183,-71.35845810459567,COQUIMBO
VICUNA,-29.89176751922595,-70.38227979986718,VICUNA
OVALLE,-30.672783556997583,-71.40517280725409,OVALLE
VALPARAISO,-33.0068050005809,-71.72448217307313,VALPARAISO
CONCON,-32.95156503726408,-71.46742855517759,CONCON
VINA DEL MAR,-33.027477164859455,-71.51544262081815,VINA DEL MAR
LOS ANDES,-32.9505118281434,-70.24294144772023,LOS ANDES
CALLE LARGA,-32.95031000069764,-70.54407029824232,CALLE LARGA
SAN ESTEBAN,-32.68644509935754,-70.34830976088328,SAN ESTEBAN
QUILLOTA,-32.90444016156681,-71.2719698442651,QUILLOTA
CALERA,-32.79344026521509,-71.15671177908096,CALERA
LA CRUZ,-32.82490431912943,-71.24065191897165,LA CRUZ
SAN ANTONIO,-33.664641743020184,-71.48877501024164,SAN ANTONIO
CARTAGENA,-33.53336995646841,-71.44210375839369,CARTAGENA
SANTO DOMINGO,-33.80928960664109,-71.67594095636187,SANTO DOMINGO
SAN FELIPE,-32.73605592823914,-70.7525800284149,SAN FELIPE
PUTAENDO,-32.48118386408258,-70.52154854323204,PUTAENDO
QUILPUE,-33.146966587403604,-71.25407146092783,QUILPUE
LIMACHE,-33.03052395284049,-71.27861930896157,LIMACHE
VILLA ALEMANA,-33.0672080172705,-71.32973473663309,VILLA ALEMANA
RANCAGUA,-34.12586229493211,-70.81667165914072,RANCAGUA
DONIHUE,-34.1964768253671,-70.92366673668336,DONIHUE
GRANEROS,-34.0655934736459,-70.74720789399723,GRANEROS
MACHALI,-34.32054832746359,-70.31913000179051,MACHALI
OLIVAR,-34.212644462741736,-70.82182200097188,OLIVAR
RENGO,-34.45490697961,-70.7181662265954,RENGO
REQUINOA,-34.33526575373728,-70.65849648456354,REQUINOA
SAN FERNANDO,-34.74356855273616,-70.60285699819148,SAN FERNANDO
CHIMBARONGO,-34.75184255851942,-70.980860062222,CHIMBARONGO
TALCA,-35.427814657057276,-71.6025104483053,TALCA
CONSTITUCION,-35.36324090644225,-72.27614066977371,CONSTITUCION
MAULE,-35.50883865569115,-71.71344254781168,MAULE
SAN CLEMENTE,-35.711977958523896,-70.84847193488432,SAN CLEMENTE
CURICO,-35.199167280801575,-70.89545839906992,CURICO
MOLINA,-35.35272952363916,-70.91038909989302,MOLINA
ROMERAL,-35.06804231584138,-70.71192816100998,ROMERAL
TENO,-34.887976738219606,-71.02214598961388,TENO
LINARES,-35.958440955999336,-71.33297121792283,LINARES
CONCEPCION,-36.834285034353435,-72.94924686531462,CONCEPCION
CORONEL,-37.007545381125695,-73.1269610680044,CORONEL
CHIGUAYANTE,-36.90048805502656,-72.99861166034788,CHIGUAYANTE
FLORIDA,-36.822230669767855,-72.71776203113919,FLORIDA
HUALQUI,-37.044552759960915,-72.8701068287799,HUALQUI
LOTA,-37.11952310604159,-73.10502031489402,LOTA
PENCO,-36.74782596526804,-72.94343151744748,PENCO
SAN PEDRO DE LA PAZ,-36.885486394977455,-73.10116323863635,SAN PEDRO DE LA PAZ
TALCAHUANO,-36.71556714263737,-73.09904756679127,TALCAHUANO
HUALPEN,-36.785166312335164,-73.14402651148566,HUALPEN
LOS ANGELES,-37.40723308389502,-72.32740360971076,LOS ANGELES
TEMUCO,-38.67301522598972,-72.66787344310605,TEMUCO
FREIRE,-38.95490320745049,-72.58851898845512,FREIRE
LAUTARO,-38.54313447855098,-72.2887496984119,LAUTARO
NUEVA IMPERIAL,-38.751938605641335,-72.97175440197702,NUEVA IMPERIAL
PADRE LAS CASAS,-38.80216103803747,-72.5552717984984,PADRE LAS CASAS
VILCUN,-38.70453902237687,-72.116543567141,VILCUN
VILLARRICA,-39.3004853866178,-72.18393449765466,VILLARRICA
PUERTO MONTT,-41.48821785116282,-72.79550710365493,PUERTO MONTT
CALBUCO,-41.72240329979278,-73.19538311016598,CALBUCO
PUERTO VARAS,-41.191287922137015,-72.38799064585253,PUERTO VARAS
OSORNO,-40.611492025199496,-73.08654706174204,OSORNO
SAN PABLO,-40.426859323383944,-73.16126566814914,SAN PABLO
PUNTA ARENAS,-53.63549609657534,-71.9674833409397,PUNTA ARENAS
SANTIAGO,-33.453294080060274,-70.65666889418918,SANTIAGO
CERRILLOS,-33.4995063752164,-70.71235392512651,CERRILLOS
CERRO NAVIA,-33.422223931008176,-70.74405752235354,CERRO NAVIA
CONCHALI,-33.3834090093014,-70.67655659026967,CONCHALI
EL BOSQUE,-33.5627494637267,-70.6761657979919,EL BOSQUE
ESTACION CENTRAL,-33.46403667378209,-70.70078053118775,ESTACION CENTRAL
HUECHURABA,-33.36016135331561,-70.63765296276358,HUECHURABA
INDEPENDENCIA,-33.41437965810033,-70.6650649169159,INDEPENDENCIA
LA CISTERNA,-33.53007147593537,-70.6638208628654,LA CISTERNA
LA FLORIDA,-33.52810456334451,-70.53983665269455,LA FLORIDA
LA GRANJA,-33.535620466583154,-70.62250091374742,LA GRANJA
LA PINTANA,-33.58758587358929,-70.63713751650387,LA PINTANA
LA REINA,-33.44708086561521,-70.53656984561978,LA REINA
LAS CONDES,-33.42101825063251,-70.50064119636798,LAS CONDES
LO BARNECHEA,-33.2991658074974,-70.3685513258829,LO BARNECHEA
LO ESPEJO,-33.52041418959636,-70.68975569696217,LO ESPEJO
LO PRADO,-33.44673649645433,-70.72294466336875,LO PRADO
MACUL,-33.48925650559538,-70.59983342303337,MACUL
MAIPU,-33.50672512568473,-70.80943155482139,MAIPU
NUNOA,-33.457775267627966,-70.59883040671131,NUNOA
PEDRO AGUIRRE CERDA,-33.491518934089136,-70.67549351634088,PEDRO AGUIRRE CERDA
PENALOLEN,-33.48516523687849,-70.52510810056316,PENALOLEN
PROVIDENCIA,-33.431612556016525,-70.61200920694003,PROVIDENCIA
PUDAHUEL,-33.42391351468754,-70.85459551523584,PUDAHUEL
QUILICURA,-33.35546806334081,-70.73534511465148,QUILICURA
QUINTA NORMAL,-33.42758402101582,-70.70089001193858,QUINTA NORMAL
RECOLETA,-33.40530437040068,-70.63928427085666,RECOLETA
RENCA,-33.40173902361186,-70.72786464389372,RENCA
SAN JOAQUIN,-33.49602163884702,-70.62836362791268,SAN JOAQUIN
SAN MIGUEL,-33.49900002777065,-70.65146883690313,SAN MIGUEL
SAN RAMON,-33.540445115099395,-70.64239219513928,SAN RAMON
VITACURA,-33.37920434832147,-70.57263950151199,VITACURA
PUENTE ALTO,-33.59093839231592,-70.55797485003207,PUENTE ALTO
PIRQUE,-33.71861524304405,-70.50659219472219,PIRQUE
COLINA,-33.13456645237163,-70.61567252676521,COLINA
LAMPA,-33.2779702072785,-70.87512514302159,LAMPA
SAN BERNARDO,-33.62887851170983,-70.7239056483881,SAN BERNARDO
BUIN,-33.74752332571866,-70.73903899300726,BUIN
PAINE,-33.86337764850613,-70.75820810719476,PAINE
MELIPILLA,-33.74393778947936,-71.19507864712762,MELIPILLA
TALAGANTE,-33.68159527904851,-70.89449343768258,TALAGANTE
EL MONTE,-33.66729842510653,-71.03300108366722,EL MONTE
ISLA DE MAIPO,-33.74836078968415,-70.94620716366252,ISLA DE MAIPO
PADRE HURTADO,-33.55731035776462,-70.87102281248274,PADRE HURTADO
PENAFLOR,-33.610876562847096,-70.89363805206852,PENAFLOR
VALDIVIA,-39.81883460065617,-73.17048899340071,VALDIVIA
MARIQUINA,-39.51038835807262,-73.01694394295332,MARIQUINA
ARICA,-18.531732508438793,-69.97257666525643,ARICA
CHILLAN,-36.61728108404969,-72.12830423509529,CHILLAN
CHILLAN VIEJO,-36.6800181027474,-72.19883671270766,CHILLAN VIEJO
COIHUECO,-36.70194128928767,-71.58144100282038,COIHUECO
SAN NICOLAS,-36.479702280542845,-72.22884568387349,SAN NICOLAS
